family,case,generator_family,status,median_search_seconds,median_replay_seconds,certificate_bytes,basis_dimension,worlds,trace_length,conserved_target_only,coefficient_obligations,models
IPC,contextual_failure,logical,ipc_countermodel,1.3269999953990919e-05,7.401999937428627e-06,114,0,1,,,,3
IPC,disjunction_does_not_select,logical,ipc_countermodel,1.9089000034000492e-05,8.913999863580102e-06,114,0,1,,,,2
IPC,identity,logical,unknown,3.195800013600092e-05,,0,0,,,,,14
IPC,composition,logical,unknown,0.001004101000035007,,0,0,,,,,224
IPC,conjunction_projection,logical,unknown,0.00010435800004415796,,0,0,,,,,54
IPC,disjunction_injection,logical,unknown,0.00010365700018155621,,0,0,,,,,54
IPC,ex_falso,logical,unknown,3.068599994549004e-05,,0,0,,,,,14
IPC,double_negation_introduction,logical,unknown,4.7090999942156486e-05,,0,0,,,,,14
IPC,disjunction_elimination,logical,unknown,0.0010353679999752785,,0,0,,,,,224
IPC,noncontradiction,logical,unknown,4.438699988895678e-05,,0,0,,,,,14
