id,kind,description,search_seconds,certificate_bytes,order_or_depth,cutoff,unanchored_lower
jet/atan_a1_r1/4,anchored,scaled elementary gap,0.000143787,229,4,,-1/768
jet/exp_a1_r1/2,anchored,scaled elementary gap,0.000087011,225,3,,-1/42
jet/sin_a1_r1/2,anchored,scaled elementary gap,0.000127853,235,4,,-5/1728
jet/log1p_a1_r1/2,anchored,scaled elementary gap,0.000089214,223,3,,-1/12
jet/atan_a1_r1/2,anchored,scaled elementary gap,0.000146251,230,4,,-1/32
jet/exp_a1_r3/4,anchored,scaled elementary gap,0.000089936,224,3,,-9/104
jet/sin_a1_r3/4,anchored,scaled elementary gap,0.000129425,235,4,,-135/8704
jet/log1p_a1_r3/4,anchored,scaled elementary gap,0.000320735,248,6,,-243/2048
jet/atan_a1_r3/4,anchored,scaled elementary gap,0.000402478,249,7,,-2187/28672
jet/exp_a2_r1/4,anchored,scaled elementary gap,0.000097868,227,3,,-1/360
jet/sin_a2_r1/4,anchored,scaled elementary gap,0.000130838,234,4,,-5/29184
jet/log1p_a2_r1/4,anchored,scaled elementary gap,0.000091628,226,3,,-1/144
jet/atan_a2_r1/4,anchored,scaled elementary gap,0.000126220,231,4,,-1/768
jet/exp_a2_r1/2,anchored,scaled elementary gap,0.000089705,227,3,,-1/42
jet/sin_a2_r1/2,anchored,scaled elementary gap,0.000126701,234,4,,-5/1728
jet/log1p_a2_r1/2,anchored,scaled elementary gap,0.000089035,225,3,,-1/12
jet/atan_a2_r1/2,anchored,scaled elementary gap,0.000137257,229,4,,-1/32
jet/exp_a2_r3/4,anchored,scaled elementary gap,0.000090066,227,3,,-9/104
jet/sin_a2_r3/4,anchored,scaled elementary gap,0.000126381,234,4,,-135/8704
jet/log1p_a2_r3/4,anchored,scaled elementary gap,0.000321395,252,6,,-243/2048
jet/atan_a2_r3/4,anchored,scaled elementary gap,0.000389258,253,7,,-2187/28672
jet/product_0,anchored,product of two elementary gaps,0.000696732,325,5,,0/1
jet/product_1,anchored,product of two elementary gaps,0.000924256,321,5,,0/1
jet/product_2,anchored,product of two elementary gaps,0.000737503,329,5,,0/1
jet/product_3,anchored,product of two elementary gaps,0.000617502,316,5,,0/1
jet/product_4,anchored,product of two elementary gaps,0.000703051,327,5,,0/1
jet/product_5,anchored,product of two elementary gaps,0.000636320,323,5,,0/1
jet/product_6,anchored,product of two elementary gaps,0.000666287,339,5,,0/1
jet/product_7,anchored,product of two elementary gaps,0.000630352,312,5,,0/1
jet/exp_remainder_2,anchored,higher-order exponential gap,0.000093161,225,3,,-1/42
jet/exp_remainder_3,anchored,higher-order exponential gap,0.000159080,242,4,,-5/1728
jet/exp_remainder_4,anchored,higher-order exponential gap,0.000200954,258,5,,-1/3520
jet/exp_remainder_5,anchored,higher-order exponential gap,0.000298581,276,6,,-7/299520
jet/exp_remainder_6,anchored,higher-order exponential gap,0.000439574,293,7,,-1/604800
jet/exp_remainder_7,anchored,higher-order exponential gap,0.000481427,314,8,,-1/9748480
ladder/exp_linear,ladder,hand example,0.000172620,256,1,,
ladder/exp_taylor_2,ladder,hand Taylor family,0.000136025,256,1,,
ladder/exp_taylor_3,ladder,hand Taylor family,0.000158098,279,1,,
ladder/exp_taylor_4,ladder,hand Taylor family,0.000182406,302,1,,
ladder/exp_taylor_5,ladder,hand Taylor family,0.000229046,328,1,,
ladder/exp_taylor_6,ladder,hand Taylor family,0.000236948,356,1,,
ladder/exp_taylor_7,ladder,hand Taylor family,0.000264349,383,1,,
ladder/planted_0,ladder,planted integrating-factor chain,0.000034512,207,0,,
ladder/planted_1,ladder,planted integrating-factor chain,0.000781931,384,2,,
ladder/planted_2,ladder,planted integrating-factor chain,0.001124138,500,3,,
ladder/planted_3,ladder,planted integrating-factor chain,0.003735110,568,3,,
ladder/planted_4,ladder,planted integrating-factor chain,0.000030657,191,0,,
ladder/planted_5,ladder,planted integrating-factor chain,0.000124879,301,1,,
ladder/planted_6,ladder,planted integrating-factor chain,0.000216677,360,1,,
ladder/planted_7,ladder,planted integrating-factor chain,0.000461887,416,1,,
ladder/planted_8,ladder,planted integrating-factor chain,0.000111939,277,1,,
ladder/planted_9,ladder,planted integrating-factor chain,0.000090447,257,1,,
ladder/planted_10,ladder,planted integrating-factor chain,0.001297349,515,3,,
ladder/planted_11,ladder,planted integrating-factor chain,0.003023936,671,4,,
ladder/planted_12,ladder,planted integrating-factor chain,0.000035474,205,0,,
ladder/planted_13,ladder,planted integrating-factor chain,0.000191439,254,1,,
ladder/planted_14,ladder,planted integrating-factor chain,0.000496750,447,3,,
ladder/planted_15,ladder,planted integrating-factor chain,0.000042394,235,0,,
ladder/planted_16,ladder,planted integrating-factor chain,0.000134433,256,1,,
ladder/planted_17,ladder,planted integrating-factor chain,0.000032960,205,0,,
ladder/planted_18,ladder,planted integrating-factor chain,0.001151439,509,3,,
ladder/planted_19,ladder,planted integrating-factor chain,0.003266233,647,4,,
ladder/planted_20,ladder,planted integrating-factor chain,0.000043216,215,0,,
ladder/planted_21,ladder,planted integrating-factor chain,0.000362097,292,1,,
ladder/planted_22,ladder,planted integrating-factor chain,0.000309677,414,2,,
ladder/planted_23,ladder,planted integrating-factor chain,0.001707778,587,4,,
ladder/planted_24,ladder,planted integrating-factor chain,0.000159041,279,1,,
ladder/planted_25,ladder,planted integrating-factor chain,0.000140833,307,1,,
ladder/planted_26,ladder,planted integrating-factor chain,0.000713778,402,2,,
ladder/planted_27,ladder,planted integrating-factor chain,0.002206712,520,3,,
ladder/planted_28,ladder,planted integrating-factor chain,0.000043376,217,0,,
ladder/planted_29,ladder,planted integrating-factor chain,0.000528508,353,2,,
ladder/planted_30,ladder,planted integrating-factor chain,0.001221845,494,3,,
ladder/planted_31,ladder,planted integrating-factor chain,0.000887270,604,4,,
ladder/planted_32,ladder,planted integrating-factor chain,0.000185940,278,1,,
ladder/planted_33,ladder,planted integrating-factor chain,0.000154453,299,1,,
ladder/planted_34,ladder,planted integrating-factor chain,0.001316938,421,2,,
ladder/planted_35,ladder,planted integrating-factor chain,0.000726067,421,2,,
tail/rational_0,divergence,unplanted positive-leading rational function,0.000092289,225,0,4,
tail/rational_1,divergence,unplanted positive-leading rational function,0.000160081,311,0,5,
tail/rational_2,divergence,unplanted positive-leading rational function,0.000114623,289,0,4,
tail/rational_3,divergence,unplanted positive-leading rational function,0.000138849,308,0,4,
tail/rational_4,barrier,unplanted positive-leading rational function,0.000433775,474,0,5,
tail/rational_5,barrier,unplanted positive-leading rational function,0.000409108,426,0,7,
tail/rational_6,barrier,unplanted positive-leading rational function,0.000830755,590,0,5,
tail/rational_7,barrier,unplanted positive-leading rational function,0.000810724,543,0,5,
tail/rational_8,divergence,unplanted positive-leading rational function,0.000138809,241,0,3,
tail/rational_9,divergence,unplanted positive-leading rational function,0.000067702,241,0,3,
tail/rational_10,divergence,unplanted positive-leading rational function,0.000161233,325,0,5,
tail/rational_11,divergence,unplanted positive-leading rational function,0.000060201,241,0,4,
tail/rational_12,barrier,unplanted positive-leading rational function,0.000254094,380,0,4,
tail/rational_13,barrier,unplanted positive-leading rational function,0.000530070,480,0,5,
tail/rational_14,barrier,unplanted positive-leading rational function,0.000997336,662,0,8,
tail/rational_15,barrier,unplanted positive-leading rational function,0.000681078,496,0,12,
tail/rational_16,divergence,unplanted positive-leading rational function,0.000124267,292,0,4,
tail/rational_17,divergence,unplanted positive-leading rational function,0.000062654,241,0,4,
tail/rational_18,divergence,unplanted positive-leading rational function,0.000072940,258,0,7,
tail/rational_19,divergence,unplanted positive-leading rational function,0.000138900,307,0,6,
tail/rational_20,barrier,unplanted positive-leading rational function,0.000399123,383,0,7,
tail/rational_21,barrier,unplanted positive-leading rational function,0.000332652,378,0,4,
tail/rational_22,barrier,unplanted positive-leading rational function,0.000650792,521,0,4,
tail/rational_23,barrier,unplanted positive-leading rational function,0.000686587,472,0,4,
tail/rational_24,divergence,unplanted positive-leading rational function,0.000069625,242,0,4,
tail/rational_25,divergence,unplanted positive-leading rational function,0.000066440,242,0,7,
tail/rational_26,divergence,unplanted positive-leading rational function,0.000093441,256,0,6,
tail/rational_27,divergence,unplanted positive-leading rational function,0.000056926,240,0,3,
tail/rational_28,barrier,unplanted positive-leading rational function,0.000527507,527,0,5,
tail/rational_29,barrier,unplanted positive-leading rational function,0.000729601,588,0,7,
tail/rational_30,barrier,unplanted positive-leading rational function,0.000650573,532,0,8,
tail/rational_31,barrier,unplanted positive-leading rational function,0.001062935,706,0,20,
tail/rational_32,divergence,unplanted positive-leading rational function,0.000051848,225,0,3,
tail/rational_33,divergence,unplanted positive-leading rational function,0.000096256,273,0,7,
tail/rational_34,divergence,unplanted positive-leading rational function,0.000073701,254,0,4,
tail/rational_35,divergence,unplanted positive-leading rational function,0.000137658,305,0,4,
tail/rational_36,barrier,unplanted positive-leading rational function,0.000167233,341,0,10,
tail/rational_37,barrier,unplanted positive-leading rational function,0.000947631,575,0,4,
tail/rational_38,barrier,unplanted positive-leading rational function,0.000481277,421,0,6,
tail/rational_39,barrier,unplanted positive-leading rational function,0.000774860,523,0,4,
tail/rational_40,divergence,unplanted positive-leading rational function,0.000177448,331,0,7,
tail/rational_41,divergence,unplanted positive-leading rational function,0.000190248,346,0,6,
tail/rational_42,divergence,unplanted positive-leading rational function,0.000114423,289,0,7,
tail/rational_43,divergence,unplanted positive-leading rational function,0.000250609,387,0,9,
tail/rational_44,barrier,unplanted positive-leading rational function,0.000472564,490,0,16,
tail/rational_45,barrier,unplanted positive-leading rational function,0.000480676,477,0,8,
tail/rational_46,barrier,unplanted positive-leading rational function,0.000682551,531,0,6,
tail/rational_47,barrier,unplanted positive-leading rational function,0.000931457,483,0,4,
tail/rational_48,divergence,unplanted positive-leading rational function,0.000130778,296,0,10,
tail/rational_49,divergence,unplanted positive-leading rational function,0.000070066,242,0,4,
tail/rational_50,divergence,unplanted positive-leading rational function,0.000113942,291,0,6,
tail/rational_51,divergence,unplanted positive-leading rational function,0.000101463,275,0,12,
tail/rational_52,barrier,unplanted positive-leading rational function,0.000641810,533,0,7,
tail/rational_53,barrier,unplanted positive-leading rational function,0.000511062,479,0,9,
tail/rational_54,barrier,unplanted positive-leading rational function,0.000602670,492,0,17,
tail/rational_55,barrier,unplanted positive-leading rational function,0.000647898,480,0,5,
tail/rational_56,divergence,unplanted positive-leading rational function,0.000088543,260,0,7,
tail/rational_57,divergence,unplanted positive-leading rational function,0.000044817,226,0,4,
tail/rational_58,divergence,unplanted positive-leading rational function,0.000115745,290,0,4,
tail/rational_59,divergence,unplanted positive-leading rational function,0.000269007,382,0,5,
tail/rational_60,barrier,unplanted positive-leading rational function,0.000511893,539,0,14,
tail/rational_61,barrier,unplanted positive-leading rational function,0.000381285,426,0,7,
tail/rational_62,barrier,unplanted positive-leading rational function,0.000697343,521,0,4,
tail/rational_63,barrier,unplanted positive-leading rational function,0.001216477,773,0,17,
tail/rational_64,divergence,unplanted positive-leading rational function,0.000070296,241,0,5,
tail/rational_65,divergence,unplanted positive-leading rational function,0.000063996,241,0,5,
tail/rational_66,divergence,unplanted positive-leading rational function,0.000042574,225,0,4,
tail/rational_67,divergence,unplanted positive-leading rational function,0.000237589,347,0,6,
tail/rational_68,barrier,unplanted positive-leading rational function,0.000392954,481,0,10,
tail/rational_69,barrier,unplanted positive-leading rational function,0.000371100,427,0,5,
tail/rational_70,barrier,unplanted positive-leading rational function,0.000760689,470,0,5,
tail/rational_71,barrier,unplanted positive-leading rational function,0.000710513,482,0,4,
tail/rational_72,divergence,unplanted positive-leading rational function,0.000089765,260,0,4,
tail/rational_73,divergence,unplanted positive-leading rational function,0.000194013,344,0,5,
tail/rational_74,divergence,unplanted positive-leading rational function,0.000159300,325,0,4,
tail/rational_75,divergence,unplanted positive-leading rational function,0.000300624,385,0,6,
tail/rational_76,barrier,unplanted positive-leading rational function,0.000335927,425,0,7,
tail/rational_77,barrier,unplanted positive-leading rational function,0.000339663,375,0,4,
tail/rational_78,barrier,unplanted positive-leading rational function,0.000554427,480,0,5,
tail/rational_79,barrier,unplanted positive-leading rational function,0.001497331,728,0,7,
tail/rational_80,divergence,unplanted positive-leading rational function,0.000068143,240,0,4,
tail/rational_81,divergence,unplanted positive-leading rational function,0.000190968,341,0,4,
tail/rational_82,divergence,unplanted positive-leading rational function,0.000179771,328,0,8,
tail/rational_83,divergence,unplanted positive-leading rational function,0.000175315,307,0,7,
tail/rational_84,barrier,unplanted positive-leading rational function,0.000539695,535,0,9,
tail/rational_85,barrier,unplanted positive-leading rational function,0.000752056,586,0,9,
tail/rational_86,barrier,unplanted positive-leading rational function,0.000806538,587,0,6,
tail/rational_87,barrier,unplanted positive-leading rational function,0.000938567,604,0,6,
tail/rational_88,divergence,unplanted positive-leading rational function,0.000129816,293,0,6,
tail/rational_89,divergence,unplanted positive-leading rational function,0.000192801,346,0,6,
tail/rational_90,divergence,unplanted positive-leading rational function,0.000079701,256,0,3,
tail/rational_91,divergence,unplanted positive-leading rational function,0.000132620,303,0,5,
tail/rational_92,barrier,unplanted positive-leading rational function,0.000238700,384,0,21,
tail/rational_93,barrier,unplanted positive-leading rational function,0.000715160,599,0,12,
tail/rational_94,barrier,unplanted positive-leading rational function,0.000469309,423,0,5,
tail/rational_95,barrier,unplanted positive-leading rational function,0.000666476,484,0,4,
tail/rational_96,divergence,unplanted positive-leading rational function,0.000126321,291,0,6,
tail/rational_97,divergence,unplanted positive-leading rational function,0.000062494,241,0,4,
tail/rational_98,divergence,unplanted positive-leading rational function,0.000073200,257,0,7,
tail/rational_99,divergence,unplanted positive-leading rational function,0.000055664,240,0,6,
tail/rational_100,barrier,unplanted positive-leading rational function,0.000228615,379,0,7,
tail/rational_101,barrier,unplanted positive-leading rational function,0.000534978,480,0,7,
tail/rational_102,barrier,unplanted positive-leading rational function,0.000453515,425,0,6,
tail/rational_103,barrier,unplanted positive-leading rational function,0.001215285,748,0,8,
tail/rational_104,divergence,unplanted positive-leading rational function,0.000048964,225,0,5,
tail/rational_105,divergence,unplanted positive-leading rational function,0.000043305,225,0,3,
tail/rational_106,divergence,unplanted positive-leading rational function,0.000174113,326,0,7,
tail/rational_107,divergence,unplanted positive-leading rational function,0.000186472,343,0,7,
tail/rational_108,barrier,unplanted positive-leading rational function,0.000168624,339,0,4,
tail/rational_109,barrier,unplanted positive-leading rational function,0.000393083,426,0,7,
tail/rational_110,barrier,unplanted positive-leading rational function,0.000469899,430,0,5,
tail/rational_111,barrier,unplanted positive-leading rational function,0.001281164,716,0,5,
tail/rational_112,divergence,unplanted positive-leading rational function,0.000094973,259,0,4,
tail/rational_113,divergence,unplanted positive-leading rational function,0.000100532,274,0,7,
tail/rational_114,divergence,unplanted positive-leading rational function,0.000142164,290,0,5,
tail/rational_115,divergence,unplanted positive-leading rational function,0.000143316,309,0,6,
tail/rational_116,barrier,unplanted positive-leading rational function,0.000393014,478,0,6,
tail/rational_117,barrier,unplanted positive-leading rational function,0.000546345,476,0,7,
tail/rational_118,barrier,unplanted positive-leading rational function,0.000501708,423,0,5,
tail/rational_119,barrier,unplanted positive-leading rational function,0.000914000,589,0,5,
optimized/p2_N2,barrier,exact one-variable coefficient optimization,0.010370319,332,0,2,
optimized/p2_N5,barrier,exact one-variable coefficient optimization,0.010404782,335,0,5,
optimized/p2_N10,barrier,exact one-variable coefficient optimization,0.010299743,342,0,10,
optimized/p3_N2,barrier,exact one-variable coefficient optimization,0.011772947,367,0,2,
optimized/p3_N5,barrier,exact one-variable coefficient optimization,0.011433184,381,0,5,
optimized/p3_N10,barrier,exact one-variable coefficient optimization,0.013825557,389,0,10,
optimized/p4_N2,barrier,exact one-variable coefficient optimization,0.013530702,415,0,2,
optimized/p4_N5,barrier,exact one-variable coefficient optimization,0.013513425,436,0,5,
optimized/p4_N10,barrier,exact one-variable coefficient optimization,0.013009675,457,0,10,
optimized/p5_N2,barrier,exact one-variable coefficient optimization,0.015698536,464,0,2,
optimized/p5_N5,barrier,exact one-variable coefficient optimization,0.016130307,504,0,5,
optimized/p5_N10,barrier,exact one-variable coefficient optimization,0.017051609,542,0,10,
optimized/p6_N2,barrier,exact one-variable coefficient optimization,0.018975043,532,0,2,
optimized/p6_N5,barrier,exact one-variable coefficient optimization,0.019336108,586,0,5,
optimized/p6_N10,barrier,exact one-variable coefficient optimization,0.021196086,635,0,10,
optimized/p7_N2,barrier,exact one-variable coefficient optimization,0.022034263,595,0,2,
optimized/p7_N5,barrier,exact one-variable coefficient optimization,0.022211900,613,0,5,
optimized/p7_N10,barrier,exact one-variable coefficient optimization,0.024697354,735,0,10,
optimized/p8_N2,barrier,exact one-variable coefficient optimization,0.027142375,682,0,2,
optimized/p8_N5,barrier,exact one-variable coefficient optimization,0.027280113,709,0,5,
optimized/p8_N10,barrier,exact one-variable coefficient optimization,0.027017908,878,0,10,
