id,kind,description,search_seconds,certificate_bytes,order_or_depth,cutoff,unanchored_lower
jet/exp_a1/4_r1/4,anchored,scaled elementary gap,0.000192551,230,3,,-1/360
jet/sin_a1/4_r1/4,anchored,scaled elementary gap,0.000587126,243,4,,-5/29184
jet/log1p_a1/4_r1/4,anchored,scaled elementary gap,0.000105469,230,3,,-1/144
jet/atan_a1/4_r1/4,anchored,scaled elementary gap,0.000179130,237,4,,-1/768
jet/exp_a1/4_r1/2,anchored,scaled elementary gap,0.000104027,229,3,,-1/42
jet/sin_a1/4_r1/2,anchored,scaled elementary gap,0.000169646,243,4,,-5/1728
jet/log1p_a1/4_r1/2,anchored,scaled elementary gap,0.000100242,227,3,,-1/12
jet/atan_a1/4_r1/2,anchored,scaled elementary gap,0.000133051,237,4,,-1/32
jet/exp_a1/4_r3/4,anchored,scaled elementary gap,0.000091408,228,3,,-9/104
jet/sin_a1/4_r3/4,anchored,scaled elementary gap,0.000133261,243,4,,-135/8704
jet/log1p_a1/4_r3/4,anchored,scaled elementary gap,0.000311430,264,6,,-243/2048
jet/atan_a1/4_r3/4,anchored,scaled elementary gap,0.000741740,264,7,,-2187/28672
jet/exp_a1/2_r1/4,anchored,scaled elementary gap,0.000203167,226,3,,-1/360
jet/sin_a1/2_r1/4,anchored,scaled elementary gap,0.000136065,239,4,,-5/29184
jet/log1p_a1/2_r1/4,anchored,scaled elementary gap,0.000092570,226,3,,-1/144
jet/atan_a1/2_r1/4,anchored,scaled elementary gap,0.000159211,233,4,,-1/768
jet/exp_a1/2_r1/2,anchored,scaled elementary gap,0.000093271,226,3,,-1/42
jet/sin_a1/2_r1/2,anchored,scaled elementary gap,0.000132119,239,4,,-5/1728
jet/log1p_a1/2_r1/2,anchored,scaled elementary gap,0.000126281,226,3,,-1/12
jet/atan_a1/2_r1/2,anchored,scaled elementary gap,0.000123426,233,4,,-1/32
jet/exp_a1/2_r3/4,anchored,scaled elementary gap,0.000089135,225,3,,-9/104
jet/sin_a1/2_r3/4,anchored,scaled elementary gap,0.000129525,239,4,,-135/8704
jet/log1p_a1/2_r3/4,anchored,scaled elementary gap,0.000303899,254,6,,-243/2048
jet/atan_a1/2_r3/4,anchored,scaled elementary gap,0.000331010,257,7,,-2187/28672
jet/exp_a1_r1/4,anchored,scaled elementary gap,0.000090447,225,3,,-1/360
jet/sin_a1_r1/4,anchored,scaled elementary gap,0.000128774,235,4,,-5/29184
jet/log1p_a1_r1/4,anchored,scaled elementary gap,0.000087763,224,3,,-1/144
