basis_dimension,bundle_bytes,coefficient_degree,columns,expanded,family,flux_degree,generators,groebner_builds,maximum_degree,membership_queries,name,pairs,pullbacks,reason,replay_seconds,rows,seconds,span_queries,status,systems
2,4462,,,,vector_named,,,,2,,coupled_quadratic,,2,,0.0006619609998779197,,0.03183693100004348,3,proved,
1,2577,,,,vector_named,,,,2,,cassini_sign,,1,,0.000266646000000037,,0.009267075000025216,2,proved,
4,,,,,vector_ablation,,,,16,,squaring_vector_ceiling,,4,polynomial_resource_ceiling,,,0.014536184999997204,4,unknown,
,1945,,,,ideal_named,,1,1,2,2,squaring_ideal,,1,,0.00011358099982317071,,0.00395751999985805,,proved,
2,1246,,,,vector_negative,,,,1,,ordered_word_vector,,4,,5.0885000064226915e-05,,0.002330824999944525,3,refuted,
,1245,,,,ideal_negative,,2,2,1,3,ordered_word_ideal,,4,,5.206700006965548e-05,,0.002386107000120319,,refuted,
5,17002,,,,vector_generated,,,,2,,affine_pair_00,,10,,0.007784747999949104,,0.2173491670000658,11,proved,
5,14650,,,,vector_generated,,,,2,,affine_pair_01,,10,,0.005586078999840538,,0.16737744800002474,11,proved,
5,17688,,,,vector_generated,,,,2,,affine_pair_02,,10,,0.008401195000033113,,0.20706722499994612,11,proved,
3,8979,,,,vector_generated,,,,2,,affine_pair_03,,6,,0.0023001980000572075,,0.061044051999942894,7,proved,
5,17218,,,,vector_generated,,,,2,,affine_pair_04,,10,,0.00769835799997054,,0.19929049999996096,11,proved,
5,15455,,,,vector_generated,,,,2,,affine_pair_05,,10,,0.0062556540001423855,,0.1584363779998057,11,proved,
4,11198,,,,vector_generated,,,,2,,affine_pair_06,,8,,0.0037200790000042616,,0.10959577199992054,9,proved,
5,15957,,,,vector_generated,,,,2,,affine_pair_07,,10,,0.007075689999965107,,0.17184584999995423,11,proved,
5,17675,,,,vector_generated,,,,2,,affine_pair_08,,10,,0.008184952999954476,,0.19720399099992392,11,proved,
5,15998,,,,vector_generated,,,,2,,affine_pair_09,,10,,0.0063621430001603585,,0.1705973460000223,11,proved,
5,15423,,,,vector_generated,,,,2,,affine_pair_10,,10,,0.0059565280000697385,,0.16334807300017928,11,proved,
5,17972,,,,vector_generated,,,,2,,affine_pair_11,,10,,0.008806239000023197,,0.21734056199989027,11,proved,
