chain_length,decoys,demand,solved,total_seconds,input_rules,index_rule_visits,active_rules,rule_firings,premise_notifications,index_seconds,search_seconds,status,proof_nodes
8,0,False,True,0.00018401700003778387,8,8,8,8,8,1.1517999951138336e-05,2.798200000597717e-05,checked_python,8
8,0,True,True,4.413600004227192e-05,8,8,8,8,8,1.3491000004250964e-05,1.619400006802607e-05,checked_python,8
8,100,False,False,0.00013438300004509074,108,108,108,100,101,2.1502000095097173e-05,0.00010561999999936234,unknown_budget,
8,100,True,True,4.1711999983817805e-05,108,108,8,8,8,2.0751999954882194e-05,9.773999977369385e-06,checked_python,8
8,1000,False,False,0.000740618000008908,1008,1008,1008,100,1001,0.0003726620000179537,0.0003343439999525799,unknown_budget,
8,1000,True,True,0.00016294600004584936,1008,1008,8,8,8,0.00012564900009692792,9.675000001152512e-06,checked_python,8
8,10000,False,False,0.007591687999934038,10008,10008,10008,100,10001,0.0028773330000149144,0.004092876999948203,unknown_budget,
8,10000,True,True,0.002361485000051289,10008,10008,8,8,8,0.0021543219999102803,1.534299997274502e-05,checked_python,8
16,0,False,True,3.7425999948936806e-05,16,16,16,16,16,4.4270000216783956e-06,1.6974999994090467e-05,checked_python,16
16,0,True,True,5.91090000625627e-05,16,16,16,16,16,7.5920000881524174e-06,1.3941000020167849e-05,checked_python,16
16,100,False,False,0.00010062199999083532,116,116,116,100,101,1.668500010509888e-05,5.92200000255616e-05,unknown_budget,
16,100,True,True,4.6249999968495104e-05,116,116,16,16,16,1.9178999991709134e-05,1.3631000001623761e-05,checked_python,16
16,1000,False,False,0.0007219600000780702,1016,1016,1016,100,1001,0.0003207639999800449,0.0003726329999835798,unknown_budget,
16,1000,True,True,0.00016984600006253459,1016,1016,16,16,16,0.0001253089999408985,1.4571999940926617e-05,checked_python,16
16,10000,False,False,0.007908565999969142,10016,10016,10016,100,10001,0.003337447000035354,0.004297075000067707,unknown_budget,
16,10000,True,True,0.001968590999922526,10016,10016,16,16,16,0.0017058040000392793,7.680600003823201e-05,checked_python,16
32,0,False,True,8.662000004733272e-05,32,32,32,32,32,1.4412000041374995e-05,3.959900004701922e-05,checked_python,32
32,0,True,True,6.467800005793833e-05,32,32,32,32,32,1.50430000758206e-05,2.7030999945054646e-05,checked_python,32
32,100,False,False,9.089699995001865e-05,132,132,132,100,101,1.989999998386338e-05,6.43969999600813e-05,unknown_budget,
32,100,True,True,7.496300008824619e-05,132,132,32,32,32,2.4887999984457565e-05,2.5277999952777463e-05,checked_python,32
32,1000,False,False,0.0006076970000776782,1032,1032,1032,100,1001,0.00024654200001350546,0.0003301780000128929,unknown_budget,
32,1000,True,True,0.0001938020000125107,1032,1032,32,32,32,0.0001315279999971608,2.598999992642348e-05,checked_python,32
32,10000,False,False,0.0056759269999702155,10032,10032,10032,100,10001,0.0023397720000275513,0.003089913000053457,unknown_budget,
32,10000,True,True,0.001795519999973294,10032,10032,32,32,32,0.00153611800010367,2.9153999889786064e-05,checked_python,32
