name,family,expected,status,search_ms,check_ms,certificate_bytes,observations
linear_invariant_d2_0,linear,certified,certified,1.306198,0.041241,317,31
linear_invariant_d2_1,linear,certified,certified,1.159191,0.04089,318,31
linear_invariant_d2_2,linear,certified,certified,1.085593,0.039778,320,31
linear_invariant_d3_0,linear,certified,certified,1.602713,0.063773,402,31
linear_invariant_d3_1,linear,certified,certified,1.360297,0.062302,401,31
linear_invariant_d3_2,linear,certified,certified,1.330964,0.065436,402,31
linear_invariant_d4_0,linear,certified,certified,3.060913,0.181947,583,31
linear_invariant_d4_1,linear,certified,certified,2.937763,0.165303,590,31
linear_invariant_d4_2,linear,certified,certified,2.76559,0.173184,584,31
linear_invariant_d5_0,linear,certified,certified,2.94317,0.224921,733,31
linear_invariant_d5_1,linear,certified,certified,2.94279,0.242666,734,31
linear_invariant_d5_2,linear,certified,certified,3.134521,0.225411,737,31
linear_invariant_d6_0,linear,certified,certified,5.298968,0.449069,1008,31
linear_invariant_d6_1,linear,certified,certified,6.265046,0.478392,1012,31
linear_invariant_d6_2,linear,certified,certified,5.323754,0.467556,1011,31
linear_invariant_d7_0,linear,certified,certified,5.23206,0.551129,1196,31
linear_invariant_d7_1,linear,certified,certified,5.5793,0.548285,1212,31
linear_invariant_d7_2,linear,certified,certified,5.729951,0.569797,1211,31
linear_equivalence_d2,linear,certified,certified,3.579244,0.170951,587,31
linear_equivalence_d3,linear,certified,certified,5.280271,0.464522,1004,31
linear_equivalence_d4,linear,certified,certified,10.127615,0.957125,1626,31
linear_equivalence_d5,linear,certified,certified,18.576437,1.78476,2325,31
linear_late_error_d2,linear,counterexample,counterexample,0.328762,,0,0
linear_late_error_d3,linear,counterexample,counterexample,0.444112,,0,0
linear_late_error_d4,linear,counterexample,counterexample,0.6059,,0,0
linear_late_error_d5,linear,counterexample,counterexample,0.999227,,0,0
linear_late_error_d6,linear,counterexample,counterexample,1.316282,,0,0
linear_late_error_d7,linear,counterexample,counterexample,2.045703,,0,0
linear_late_error_d8,linear,counterexample,counterexample,2.763376,,0,0
linear_random_false_0,linear,counterexample,counterexample,0.198121,,0,0
linear_random_false_1,linear,counterexample,counterexample,0.1909,,0,0
linear_random_false_2,linear,counterexample,counterexample,0.177781,,0,0
linear_random_false_3,linear,counterexample,counterexample,0.173164,,0,0
linear_random_false_4,linear,counterexample,counterexample,0.175258,,0,0
linear_random_false_5,linear,counterexample,counterexample,0.300541,,0,0
linear_word_order,linear,counterexample,counterexample,0.525361,,0,0
ideal_mutual_squares,ideal,certified,certified,10.861914,0.213563,562,0
ideal_budget,ideal,unknown,unknown,1.9819,,0,0
ideal_mutant_update,ideal,counterexample,counterexample,6.028499,,0,0
ideal_mutant_initial,ideal,counterexample,counterexample,6.86719,,0,0
ideal_product_scale1,ideal,certified,certified,6.225768,0.157171,545,0
ideal_product_scale2,ideal,certified,certified,5.800915,0.162188,545,0
ideal_product_scale3,ideal,certified,certified,5.923285,0.178943,545,0
ideal_product_scale5,ideal,certified,certified,6.306427,0.162859,547,0
ideal_cassini,ideal,certified,certified,5.446775,0.176379,480,0
ideal_cassini_mutant,ideal,counterexample,counterexample,7.325473,,0,0
ideal_chain_d3,ideal,certified,certified,16.342138,0.3475,791,0
ideal_chain_d4,ideal,certified,certified,32.09456,0.560803,1081,0
ideal_chain_d5,ideal,certified,certified,55.934102,0.809889,1426,0
sum_binomial_m1_moment0,binomial_sum,certified,certified,2.685672,0.094258,225,31
sum_binomial_m1_moment1,binomial_sum,certified,certified,31.015726,0.220003,298,31
sum_binomial_m1_moment2,binomial_sum,certified,certified,47.632487,0.313329,347,31
sum_binomial_m1_moment3,binomial_sum,certified,certified,220.754031,0.83764,631,31
sum_binomial_m2_moment0,binomial_sum,certified,certified,19.533742,0.260682,315,31
sum_binomial_m2_moment1,binomial_sum,certified,certified,97.425354,0.530288,447,31
sum_binomial_m2_moment2,binomial_sum,certified,certified,233.0166,0.832001,716,31
sum_m1_moment3_small_template,binomial_sum,unknown,unknown,76.41178,,0,0
sum_m2_moment2_small_template,binomial_sum,unknown,unknown,83.87909,,0,0
sum_franel_order1_budget,binomial_sum,unknown,unknown,30.657471,,0,0
