family,id,status,search_ms,check_ms,certificate_bytes
quadratic,rational_36,proved,9.444421,0.303452,765
quadratic,rational_37,proved,10.605716,0.436165,803
quadratic,rational_38,proved,9.38267,0.261719,734
quadratic,rational_39,proved,9.744522,0.262324,821
bernstein,near_zero,proved,24.428005,3.864746,1039
bernstein,non_dyadic_zero,unknown,19.870886,0,0
bernstein,two_dimensions,proved,70.557271,4.470258,2699
bernstein,positive_00,proved,9.650893,0.524264,606
bernstein,positive_01,proved,12.727846,0.656389,775
bernstein,positive_02,proved,19.61248,1.144428,1111
bernstein,positive_03,proved,14.765439,0.836148,773
bernstein,positive_04,proved,11.400689,0.75394,771
bernstein,positive_05,proved,22.25854,1.399899,1115
bernstein,positive_06,proved,7.108288,0.942501,771
bernstein,positive_07,proved,32.802062,1.950284,1484
bernstein,positive_08,proved,4.97472,0.225592,310
bernstein,positive_09,proved,36.902446,1.493268,1475
induction,qrev_correct,proved,0.492688,1.651598,3867
induction,rev_involution,proved,0.249081,0.594457,3781
lemma_synthesis,schema_candidates,proved,1.828056,0.446013,2704
ablation,lemmas_0_generalize_0,unknown,0.125499,0,0
ablation,lemmas_0_generalize_1,unknown,0.18745,0,0
ablation,lemmas_1_generalize_0,unknown,0.181503,0,0
ablation,lemmas_1_generalize_1,proved,0.378503,0,0
cdclt_random,random_000,unsat,0.070926,0.022604,1070
cdclt_random,random_001,sat,0.049329,0.04131,291
cdclt_random,random_002,sat,0.155416,0.007618,411
cdclt_random,random_003,unsat,0.058554,0.018122,1069
cdclt_random,random_004,unsat,0.048329,0.022648,912
cdclt_random,random_005,sat,0.034252,0.005729,359
cdclt_random,random_006,unsat,0.099802,0.012636,836
cdclt_random,random_007,sat,0.032289,0.005802,312
cdclt_random,random_008,unsat,0.059136,0.012736,878
cdclt_random,random_009,unsat,0.107158,0.016522,1020
cdclt_random,random_010,unsat,0.081327,0.014752,961
cdclt_random,random_011,unsat,0.06976,0.012915,1032
cdclt_random,random_012,unsat,0.060729,0.011767,859
cdclt_random,random_013,unsat,0.051113,0.011643,900
cdclt_random,random_014,unsat,0.056082,0.013195,1043
cdclt_random,random_015,sat,0.130137,0.009416,417
cdclt_random,random_016,unsat,0.0389,0.01508,867
cdclt_random,random_017,sat,0.184907,0.006202,354
cdclt_random,random_018,unsat,0.059349,0.016715,931
cdclt_random,random_019,unsat,0.061426,0.017211,806
cdclt_random,random_020,sat,0.12727,0.005689,358
cdclt_random,random_021,sat,0.025982,0.004161,261
cdclt_random,random_022,unsat,0.046578,0.01586,958
cdclt_random,random_023,unsat,0.075317,0.019164,1315
cdclt_random,random_024,sat,0.051865,0.005694,292
cdclt_random,random_025,sat,0.034344,0.005623,356
cdclt_random,random_026,sat,0.015442,0.003075,253
cdclt_random,random_027,unsat,0.050761,0.014678,650
cdclt_random,random_028,sat,0.033173,0.004894,364
cdclt_random,random_029,sat,0.065537,0.004369,355
cdclt_random,random_030,unsat,0.037742,0.013325,889
cdclt_random,random_031,sat,0.018655,0.003543,278
cdclt_random,random_032,unsat,0.047632,0.010425,705
cdclt_random,random_033,unsat,0.029637,0.009406,726
cdclt_random,random_034,unsat,0.043758,0.009493,739
cdclt_random,random_035,sat,0.060881,0.004699,350
cdclt_random,random_036,sat,0.02563,0.004389,284
cdclt_random,random_037,unsat,0.057659,0.014238,943
cdclt_random,random_038,unsat,0.075101,0.016217,1169
cdclt_random,random_039,sat,0.085173,0.006107,398
cdclt_random,random_040,sat,0.113506,0.005696,378
cdclt_random,random_041,sat,0.067382,0.004465,371
cdclt_random,random_042,unsat,0.064621,0.01547,912
cdclt_random,random_043,sat,0.126699,0.005998,396
cdclt_random,random_044,unsat,0.057382,0.018206,989
cdclt_random,random_045,unsat,0.165114,0.016316,903
cdclt_random,random_046,unsat,0.067754,0.014745,1060
cdclt_random,random_047,sat,0.056179,0.004579,335
cdclt_random,random_048,unsat,0.046834,0.012354,971
cdclt_random,random_049,unsat,0.062463,0.015828,1157
cdclt_random,random_050,sat,0.104886,0.006123,420
cdclt_random,random_051,unsat,0.05038,0.014718,1100
cdclt_random,random_052,sat,0.106623,0.005671,400
cdclt_random,random_053,unsat,0.058551,0.012841,765
cdclt_random,random_054,unsat,0.03353,0.010283,579
cdclt_random,random_055,unsat,0.051743,0.01098,578
cdclt_random,random_056,sat,0.02104,0.004108,286
cdclt_random,random_057,sat,0.024205,0.003844,295
cdclt_random,random_058,unsat,0.087889,0.033672,1169
cdclt_random,random_059,sat,0.048828,0.00415,305
cdclt_random,random_060,unsat,0.082898,0.011618,898
cdclt_random,random_061,unsat,0.027462,0.00948,680
cdclt_random,random_062,unsat,0.160198,0.010602,603
cdclt_random,random_063,unsat,0.06598,0.032554,1246
cdclt_random,random_064,unsat,0.057919,0.188603,1068
cdclt_random,random_065,unsat,0.03305,0.011593,815
cdclt_random,random_066,unsat,0.065984,0.011917,874
cdclt_random,random_067,sat,0.081979,0.008172,441
cdclt_random,random_068,unsat,0.041065,0.01242,686
cdclt_random,random_069,sat,0.101269,0.00687,439
cdclt_random,random_070,unsat,0.026103,0.009793,682
cdclt_random,random_071,unsat,0.027839,0.009513,606
cdclt_random,random_072,sat,0.037408,0.004359,283
cdclt_random,random_073,unsat,0.039136,0.014069,986
cdclt_random,random_074,unsat,0.074545,0.01384,779
cdclt_random,random_075,unsat,0.072736,0.014857,956
cdclt_random,random_076,unsat,0.055138,0.009986,626
cdclt_random,random_077,unsat,0.048253,0.008366,685
cdclt_random,random_078,unsat,0.042873,0.008815,723
cdclt_random,random_079,unsat,0.043362,0.0124,906
cdclt_random,random_080,sat,0.0754,0.005972,333
cdclt_random,random_081,unsat,0.058723,0.012979,969
cdclt_random,random_082,sat,0.024958,0.004148,275
cdclt_random,random_083,unsat,0.057163,0.010671,797
cdclt_random,random_084,unsat,0.021187,0.009503,439
cdclt_random,random_085,sat,0.060094,0.004527,339
cdclt_random,random_086,sat,0.024762,0.004444,292
cdclt_random,random_087,sat,0.074612,0.005565,363
cdclt_random,random_088,unsat,0.046732,0.014718,981
cdclt_random,random_089,sat,0.104356,0.006249,380
cdclt_random,random_090,sat,0.067395,0.004878,376
cdclt_random,random_091,sat,0.086989,0.01046,388
cdclt_random,random_092,unsat,0.04696,0.019214,1167
cdclt_random,random_093,unsat,0.122971,0.014725,734
cdclt_random,random_094,unsat,0.02632,0.010188,689
cdclt_random,random_095,unsat,0.100044,0.036881,1061
cdclt_random,random_096,sat,0.052181,0.005046,340
