depth,forward_facts,forward_instances,forward_seconds,forward_proof_nodes,demand_facts,demand_instances,demand_seconds,demand_proof_nodes
4,31,30,0.00041589800002839183,5,5,4,0.00012830399998620123,5
8,511,510,0.00687029599998823,9,9,8,0.00023245099998803198,9
10,2047,2046,0.035031729000024825,11,11,10,0.0002934030000005805,11
12,8191,8190,0.15316036100000474,13,13,12,0.00037888299993937835,13
14,32767,32766,0.8462831019999157,15,15,14,0.0004780320000463689,15
