problem,family,variant,status,search_seconds,replay_seconds,positive_atoms,equality_multipliers
product_1_1,products,sparse,UNKNOWN,0.0012667099999816855,0.0,0,0
product_1_1,products,enriched,PROVED,0.004629077999993569,0.000145809999935409,3,0
product_1_2,products,sparse,UNKNOWN,0.0013864399999192756,0.0,0,0
product_1_2,products,enriched,PROVED,0.004563418999964597,0.00014201400006186304,3,0
product_1_3,products,sparse,UNKNOWN,0.001133497999944666,0.0,0,0
product_1_3,products,enriched,PROVED,0.0043587900000829904,0.00017053700003089034,3,0
product_1_4,products,sparse,UNKNOWN,0.0011417409999694428,0.0,0,0
product_1_4,products,enriched,PROVED,0.004357899000069665,0.00013895000006414193,3,0
product_1_5,products,sparse,UNKNOWN,0.0010853559999759455,0.0,0,0
product_1_5,products,enriched,PROVED,0.00433753799995884,0.00013881899997159053,3,0
product_2_1,products,sparse,UNKNOWN,0.0010749599999826387,0.0,0,0
product_2_1,products,enriched,PROVED,0.004288384000005863,0.00014019100001405604,3,0
product_2_2,products,sparse,UNKNOWN,0.0013530699999364515,0.0,0,0
product_2_2,products,enriched,PROVED,0.004407033000006777,0.00014253499989536067,3,0
product_2_3,products,sparse,UNKNOWN,0.0010785250000253654,0.0,0,0
product_2_3,products,enriched,PROVED,0.0043818249999958425,0.00014242499992178637,3,0
product_2_4,products,sparse,UNKNOWN,0.0011524469999812936,0.0,0,0
product_2_4,products,enriched,PROVED,0.004449127000043518,0.0002048589999503747,3,0
product_2_5,products,sparse,UNKNOWN,0.001123263000067709,0.0,0,0
product_2_5,products,enriched,PROVED,0.0046678760000986586,0.0001749039998912849,3,0
product_3_1,products,sparse,UNKNOWN,0.0011535190000131479,0.0,0,0
product_3_1,products,enriched,PROVED,0.004714236000040728,0.00020302600000832172,3,0
product_3_2,products,sparse,UNKNOWN,0.0012101639999855252,0.0,0,0
product_3_2,products,enriched,PROVED,0.004493332999913946,0.00016515899994828942,3,0
product_3_3,products,sparse,UNKNOWN,0.0011207290000356807,0.0,0,0
product_3_3,products,enriched,PROVED,0.004426962999900752,0.00013777699996353476,3,0
product_3_4,products,sparse,UNKNOWN,0.001094220000027235,0.0,0,0
