problem,family,variant,status,search_seconds,replay_seconds,positive_atoms,equality_multipliers
product_3_4,products,enriched,PROVED,0.0043731109999498585,0.00013906899994253763,3,0
product_3_5,products,sparse,UNKNOWN,0.0010806790000970068,0.0,0,0
product_3_5,products,enriched,PROVED,0.004361344000017198,0.00013965100004043052,3,0
product_4_1,products,sparse,UNKNOWN,0.0012351120000175797,0.0,0,0
product_4_1,products,enriched,PROVED,0.004412680999962504,0.0001394399999981033,3,0
product_4_2,products,sparse,UNKNOWN,0.0010740190000433358,0.0,0,0
product_4_2,products,enriched,PROVED,0.004420131999950172,0.00014061199999559904,3,0
product_4_3,products,sparse,UNKNOWN,0.0011129980000532669,0.0,0,0
product_4_3,products,enriched,PROVED,0.004925595000031535,0.0001395000000457003,3,0
product_4_4,products,sparse,UNKNOWN,0.0019133340000507815,0.0,0,0
product_4_4,products,enriched,PROVED,0.004882489999999962,0.00014062200000353187,3,0
product_4_5,products,sparse,UNKNOWN,0.0011281209999651765,0.0,0,0
product_4_5,products,enriched,PROVED,0.004578300999924068,0.00013803800004552613,3,0
product_5_1,products,sparse,UNKNOWN,0.001104223999959686,0.0,0,0
product_5_1,products,enriched,PROVED,0.0045400840000411335,0.00013787800003228767,3,0
product_5_2,products,sparse,UNKNOWN,0.0012152119999200295,0.0,0,0
product_5_2,products,enriched,PROVED,0.004564290999951481,0.00018429800002195407,3,0
product_5_3,products,sparse,UNKNOWN,0.0011048449999861987,0.0,0,0
product_5_3,products,enriched,PROVED,0.005332567999971616,0.00014072200008286018,3,0
product_5_4,products,sparse,UNKNOWN,0.0011695729999701143,0.0,0,0
product_5_4,products,enriched,PROVED,0.004788407999967603,0.00014184300005126715,3,0
product_5_5,products,sparse,UNKNOWN,0.0011977760000263515,0.0,0,0
product_5_5,products,enriched,PROVED,0.004627865000088605,0.0002471520000426608,3,0
square_1_0,squares,sparse,UNKNOWN,0.0009670480000067982,0.0,0,0
square_1_0,squares,enriched,PROVED,0.0017888969999830806,7.584399997995206e-05,1,0
square_1_1,squares,sparse,UNKNOWN,0.0011274189999994633,0.0,0,0
square_1_1,squares,enriched,PROVED,0.001801465999960783,9.671499992691679e-05,2,0
square_1_2,squares,sparse,UNKNOWN,0.0009686800000281437,0.0,0,0
square_1_2,squares,enriched,PROVED,0.0019660230000226875,9.691599996131117e-05,2,0
square_2_0,squares,sparse,UNKNOWN,0.000943811999945865,0.0,0,0
square_2_0,squares,enriched,PROVED,0.0017417850000356339,7.569399997464643e-05,1,0
square_2_1,squares,sparse,UNKNOWN,0.0011996279999948456,0.0,0,0
square_2_1,squares,enriched,PROVED,0.0018645800000740564,9.912899997743807e-05,2,0
square_2_2,squares,sparse,UNKNOWN,0.0010666270000001532,0.0,0,0
square_2_2,squares,enriched,PROVED,0.001784600000064529,9.922999993250414e-05,2,0
square_3_0,squares,sparse,UNKNOWN,0.0009622400000353082,0.0,0,0
square_3_0,squares,enriched,PROVED,0.0017807340000217664,7.647500001439766e-05,1,0
square_3_1,squares,sparse,UNKNOWN,0.0009280990000206657,0.0,0,0
square_3_1,squares,enriched,PROVED,0.0017818049999505092,0.00010231399994609092,2,0
square_3_2,squares,sparse,UNKNOWN,0.0010320659999933923,0.0,0,0
square_3_2,squares,enriched,PROVED,0.0017681449999145116,0.00010249500007830648,2,0
square_4_0,squares,sparse,UNKNOWN,0.0009585840000454482,0.0,0,0
square_4_0,squares,enriched,PROVED,0.001775316000021121,7.685600007789617e-05,1,0
square_4_1,squares,sparse,UNKNOWN,0.0009410290000460009,0.0,0,0
square_4_1,squares,enriched,PROVED,0.001792260999991413,0.00010105199999088654,2,0
square_4_2,squares,sparse,UNKNOWN,0.0009711540000125751,0.0,0,0
square_4_2,squares,enriched,PROVED,0.0018232180000268272,9.743700002218247e-05,2,0
square_5_0,squares,sparse,UNKNOWN,0.0009334269999499156,0.0,0,0
square_5_0,squares,enriched,PROVED,0.0017813250000244807,7.28300000218951e-05,1,0
square_5_1,squares,sparse,UNKNOWN,0.0009659359999432127,0.0,0,0
square_5_1,squares,enriched,PROVED,0.0018325620000041454,9.552399990298e-05,2,0
square_5_2,squares,sparse,UNKNOWN,0.0009442040000067209,0.0,0,0
square_5_2,squares,enriched,PROVED,0.0018214660000239746,0.00010156300004382501,2,0
mixed_1/3,mixed,sparse,UNKNOWN,0.0013849069999878338,0.0,0,0
mixed_1/3,mixed,enriched,PROVED,0.005061870000076851,0.00019947999999203603,2,2
mixed_2/5,mixed,sparse,UNKNOWN,0.0015806229999952848,0.0,0,0
mixed_2/5,mixed,enriched,PROVED,0.005010292000065419,0.00016769299998031784,2,2
mixed_1/2,mixed,sparse,UNKNOWN,0.0012854579999839189,0.0,0,0
mixed_1/2,mixed,enriched,PROVED,0.004907015999947362,0.00016189400002986076,2,2
mixed_3/4,mixed,sparse,PROVED,0.001956128999950124,0.00015057600001000537,3,2
mixed_3/4,mixed,enriched,PROVED,0.004920597000023008,0.00016423800002485223,2,2
mixed_1,mixed,sparse,PROVED,0.0019779309999421457,0.00014866500009702577,3,2
mixed_1,mixed,enriched,PROVED,0.0047757390000242594,0.00016500900005667063,2,2
mixed_5/4,mixed,sparse,PROVED,0.0020501200000353492,0.00017981099995267869,3,2
mixed_5/4,mixed,enriched,PROVED,0.0047901100000444785,0.00022824500001661363,2,2
diagonal_1_1,diagonal,sparse,PROVED,0.0014274010000008275,9.881900007258082e-05,2,0
diagonal_1_1,diagonal,enriched,PROVED,0.0018982009999035654,0.00014011100006428023,2,0
diagonal_1_2,diagonal,sparse,PROVED,0.0013016719999541237,9.179899996070162e-05,2,0
diagonal_1_2,diagonal,enriched,PROVED,0.0019286970000393922,0.00016168399997695815,3,0
diagonal_1_3,diagonal,sparse,PROVED,0.001236032999941017,5.8899000009660085e-05,2,0
diagonal_1_3,diagonal,enriched,PROVED,0.0018675750000056723,0.000161563999995451,3,0
diagonal_2_1,diagonal,sparse,PROVED,0.001182311999968988,5.658499992478028e-05,2,0
diagonal_2_1,diagonal,enriched,PROVED,0.0018959969999059467,0.00015935099997932411,3,0
diagonal_2_2,diagonal,sparse,PROVED,0.0012614620000022114,5.951000002824003e-05,2,0
diagonal_2_2,diagonal,enriched,PROVED,0.0017711200000576355,0.00016285499998502928,2,0
diagonal_2_3,diagonal,sparse,PROVED,0.0012207800000396674,5.97499999912543e-05,2,0
diagonal_2_3,diagonal,enriched,PROVED,0.0018086270000594595,0.00015692600004513224,3,0
diagonal_3_1,diagonal,sparse,PROVED,0.0012002689999235372,9.212899999511137e-05,2,0
diagonal_3_1,diagonal,enriched,PROVED,0.0018056420000220896,0.0001585389999263498,3,0
diagonal_3_2,diagonal,sparse,PROVED,0.0011863979999588992,5.93590000335098e-05,2,0
diagonal_3_2,diagonal,enriched,PROVED,0.0018799529999569131,0.00015520399995239131,3,0
diagonal_3_3,diagonal,sparse,PROVED,0.0014713179999716886,5.817800001750584e-05,2,0
diagonal_3_3,diagonal,enriched,PROVED,0.0018630880000500838,0.00013662600008501613,2,0
equality_1,equalities,sparse,PROVED,0.0015304070000183856,3.957899991746672e-05,0,1
equality_1,equalities,enriched,PROVED,0.002043289999960507,3.839800001514959e-05,0,1
equality_2,equalities,sparse,PROVED,0.0015490960000761334,4.2043000007652154e-05,0,1
equality_2,equalities,enriched,PROVED,0.00203385600002548,3.951899998355657e-05,0,1
equality_3,equalities,sparse,PROVED,0.0015033959999755098,4.153300005782512e-05,0,1
equality_3,equalities,enriched,PROVED,0.00199740000005022,3.978899997036933e-05,0,1
equality_4,equalities,sparse,PROVED,0.001500562000046557,4.017999992811383e-05,0,1
equality_4,equalities,enriched,PROVED,0.0019510810000156198,4.0661000070940645e-05,0,1
equality_5,equalities,sparse,PROVED,0.0015992900000583177,4.088200000751385e-05,0,1
equality_5,equalities,enriched,PROVED,0.001981997000029878,3.973000002588378e-05,0,1
