noise_chains,variant,total_rules,selected_rules,firings,index_seconds,query_seconds,cold_total_seconds,original_proof_steps,minimized_steps
10,full_closure,252,252,252,7.25589999319709e-05,0.00016061300004821533,0.00023317199998018623,252,12
10,early_goal,252,252,122,7.25589999319709e-05,0.00010155300003589218,0.00017411199996786308,122,12
10,demand,252,12,12,7.25589999319709e-05,2.3394999971060315e-05,9.595399990303122e-05,12,12
100,full_closure,2412,2412,2412,0.0007122740000795602,0.001593511999999464,0.0023057860000790242,2412,12
100,early_goal,2412,2412,1112,0.0007122740000795602,0.0009633120000671624,0.0016755860001467227,1112,12
100,demand,2412,12,12,0.0007122740000795602,4.184299996268237e-05,0.0007541170000422426,12,12
1000,full_closure,24012,24012,24012,0.008486733000040658,0.019246391000024232,0.02773312400006489,24012,12
1000,early_goal,24012,24012,11012,0.008486733000040658,0.11527879600009783,0.12376552900013849,11012,12
1000,demand,24012,12,12,0.008486733000040658,0.0002474030000030325,0.00873413600004369,12,12
