case,family,mode,expected,status,accepted,reason,check_seconds,kind,arithmetic_operations,basis_dimensions,elapsed_seconds,generators,grid_evaluations,groebner_calls,max_generated_degree,membership_queries,pullbacks,process_seconds,value,length
nonlinear_equivalence_00,nonlinear equivalence,ideal,proved,proved,True,,0.00037092599995958153,closure-certificate,61,[2],0.011314432999938617,2,0,2,4,6,2,0.6758132179999166,,
nonlinear_mutant_00,nonlinear mutant,linear,refuted,refuted,True,,0.00028515700000752986,counterexample,94,,0.01684080300003643,3,3,0,4,3,2,0.7125718020000704,"['-1', '1']",2
nonlinear_mutant_00,nonlinear mutant,ideal,refuted,refuted,True,,0.00021549200005210878,counterexample,94,,0.018161984000016673,3,3,2,4,3,2,0.7631433480000851,"['-1', '1']",2
nonlinear_equivalence_01,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.021571020999999746,3,0,0,8,4,3,0.7630477279999468,,
nonlinear_equivalence_01,nonlinear equivalence,ideal,proved,proved,True,,0.0004896240000107355,closure-certificate,90,[2],0.011684278999950948,2,0,2,4,6,2,0.7369223470000179,,
nonlinear_mutant_01,nonlinear mutant,linear,refuted,refuted,True,,0.00028976399994462554,counterexample,134,,0.01866913599997133,3,3,0,4,3,2,0.7411543149999034,"['-2', '1']",2
nonlinear_mutant_01,nonlinear mutant,ideal,refuted,refuted,True,,0.0002682220000451707,counterexample,134,,0.01833323300002121,3,3,2,4,3,2,0.7124780839999403,"['-2', '1']",2
nonlinear_equivalence_02,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.024525353000058203,3,0,0,8,4,3,0.7172057389999509,,
nonlinear_equivalence_02,nonlinear equivalence,ideal,proved,proved,True,,0.0005000290000225505,closure-certificate,90,[2],0.014506769000036002,2,0,2,4,6,2,0.7713277529999232,,
nonlinear_mutant_02,nonlinear mutant,linear,refuted,refuted,True,,0.00038064099999246537,counterexample,134,,0.02097585399997115,3,3,0,4,3,2,0.7462408179999329,"['-3', '1']",2
nonlinear_mutant_02,nonlinear mutant,ideal,refuted,refuted,True,,0.000467651000008118,counterexample,134,,0.03239113699999052,3,3,2,4,3,2,2.40959797000005,"['-3', '1']",2
nonlinear_equivalence_03,nonlinear equivalence,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.022646860999998353,3,0,0,8,4,3,1.904873579000082,,
