lane,name,outcome,search_ms,check_ms,certificate_bytes
poly,corner-00,proved,3.2364620000180366,0.39663500001552165,759
poly,corner-01,proved,5.1825689999986935,0.8540899999616158,1702
poly,corner-02,proved,2.833647999977984,0.3655379999827346,759
poly,corner-03,proved,4.9401360000729255,0.8484319999979562,1702
poly,corner-04,proved,2.7167029999191072,0.36030100000061793,759
poly,corner-05,proved,4.651183000078163,0.8112759999221453,1708
poly,corner-06,proved,2.718125000001237,0.3530889999865394,759
poly,corner-07,proved,4.721918000086589,0.8284320000484513,1708
poly,corner-08,proved,2.7554509999845322,0.357024999971145,755
poly,corner-09,proved,4.589881000015339,0.8119469999883222,1708
poly,corner-10,proved,2.7357709999478175,0.37120700005743856,759
poly,corner-11,proved,4.736870999977327,0.8293640000829328,1702
poly,corner-12,proved,2.924354000015228,0.36473600005137996,755
poly,corner-13,proved,4.5729349999419355,0.8182569999917177,1702
poly,corner-14,proved,2.805104999993091,0.35625400005301344,759
poly,corner-15,proved,4.693406000001232,0.812919000054535,1702
poly,corner-16,proved,2.717865000022357,0.36887300007037993,755
poly,corner-17,proved,4.49911400005476,0.7931489999464247,1702
poly,corner-18,proved,2.8954299999668365,0.3652380000858102,755
poly,corner-19,proved,4.651413000033244,0.8050870000033683,1708
poly,corner-20,proved,2.716190999990431,0.3762840000263168,755
poly,corner-21,proved,4.883750999965741,0.817154999936065,1708
poly,corner-22,proved,2.791253999930632,0.35981999997147796,759
poly,corner-23,proved,4.658473999938906,0.82473600002686,1708
poly,corner-24,proved,2.724984999986191,0.37282899995716434,759
poly,corner-25,proved,4.661007000095196,0.818075999973189,1708
poly,corner-26,proved,2.767990000052123,0.43584299999110954,759
poly,corner-27,proved,4.808759000070495,0.8951710000246749,1702
poly,corner-28,proved,2.700138000022889,0.4473200000347788,759
poly,corner-29,proved,4.615989999933845,0.8022219999475055,1702
poly,corner-30,proved,2.675190999980259,0.4355130000703866,759
poly,corner-31,proved,4.569230000015523,0.8183670000789789,1708
poly,corner-32,proved,2.6610690000552495,0.34986399998615525,755
poly,corner-33,proved,4.551654000010785,0.8181260000128532,1708
poly,corner-34,proved,2.7844039999536108,0.35436100006336346,755
poly,corner-35,proved,4.631472999903963,0.8171350000338862,1702
poly,corner-36,proved,2.7903529999093735,0.408843000059278,759
poly,corner-37,proved,4.749770999978864,0.8145110000441491,1708
poly,corner-38,proved,2.7023210000152176,0.3678209999407045,759
poly,corner-39,proved,4.500026000073376,0.8241549999183917,1708
poly,strict-00,proved,0.04803200010883302,0.057566000009501295,240
poly,strict-01,proved,0.04448700008197193,0.054682000040884304,244
poly,strict-02,proved,0.04166199994415365,0.051868000014110294,244
poly,strict-03,proved,0.039910000054987904,0.0496239999847603,240
poly,strict-04,proved,0.04578899995522079,0.054862000069988426,244
poly,strict-05,proved,0.04168199996001931,0.051878000022043125,244
poly,strict-06,proved,0.04052099995988101,0.051628000051096024,244
poly,strict-07,proved,0.05647400007546821,0.05168699999558157,244
poly,strict-08,proved,0.04079100006038061,0.051868000014110294,244
poly,strict-09,proved,0.04549899995254236,0.04959400007464865,240
poly,strict-10,proved,0.042233000044689106,0.04986399994777457,240
poly,strict-11,proved,0.03838800000721676,0.0506760000007489,244
poly,strict-12,proved,0.039509000089310575,0.04906299989215768,240
poly,strict-13,proved,0.03943900003378076,0.05191700006434985,244
poly,strict-14,proved,0.039818999994167825,0.06546800000251096,244
poly,strict-15,proved,0.039989000015339116,0.05308900006184558,244
poly,strict-16,proved,0.0388890000522224,0.05098599990560615,244
poly,strict-17,proved,0.04079199993611837,0.050875999932031846,240
poly,strict-18,proved,0.04025999999157648,0.05358099997465615,244
poly,strict-19,proved,0.040810999962559436,0.1384170000164886,240
poly,strict-20,proved,0.046610000026703347,0.05437100003291562,244
poly,strict-21,proved,0.04357500006335613,0.05205799993746041,240
poly,strict-22,proved,0.04241300007379323,0.0505360000033761,244
poly,strict-23,proved,0.03880799999933515,0.06939399997918372,244
poly,strict-24,proved,0.04026099998100108,0.05087600004571868,244
poly,strict-25,proved,0.03936899997825094,0.051697000003514404,244
poly,strict-26,proved,0.09240899998985697,0.056335000067520014,244
poly,strict-27,proved,0.0452480001058575,0.051617999929476355,240
poly,strict-28,proved,0.06204299995715701,0.052869000001010136,240
poly,strict-29,proved,0.0391390000231695,0.05165799996120768,244
poly,mixed-touching,proved,0.0654479999866453,0.08321500001784443,364
poly,strict-lower,proved,0.008732999958738219,0.008322000098814897,123
poly,strict-upper,proved,0.007551000066996494,0.006910000024618057,123
poly,unconstrained,proved,0.002292999965902709,0.002294000069014146,123
poly,counterexample-00,refuted,0.26535699998930795,0.06955399999242218,223
poly,counterexample-01,refuted,0.2644560000817364,0.06839199988917244,227
poly,counterexample-02,refuted,0.24890299994240195,0.06750099998953374,227
poly,counterexample-03,refuted,0.2410419999705482,0.06490700002359517,227
poly,counterexample-04,refuted,0.24485699998422206,0.07047599990528397,227
poly,counterexample-05,refuted,0.24013000006561924,0.06471699998655822,227
poly,counterexample-06,refuted,0.25418099994567456,0.08314399997289001,223
poly,counterexample-07,refuted,0.2398290000655834,0.06225399999948422,223
poly,counterexample-08,refuted,0.23869799997555674,0.082573999975466,223
poly,counterexample-09,refuted,0.24059099996520672,0.08694000007380964,223
poly,counterexample-10,refuted,0.24504699990757217,0.0651670000024751,227
poly,counterexample-11,refuted,0.2563040000040928,0.06367599996792705,223
poly,counterexample-12,refuted,0.245107000068856,0.06436599994685821,227
poly,counterexample-13,refuted,0.2537210000355117,0.06615900008455355,227
poly,counterexample-14,refuted,0.2405799999678493,0.06293399997048255,223
poly,counterexample-15,refuted,0.23718499994629383,0.06109200000992132,223
poly,counterexample-16,refuted,0.27279900007215474,0.06374500003403227,223
poly,counterexample-17,refuted,0.23788599992258241,0.06409600007373228,227
poly,counterexample-18,refuted,0.2557039999828703,0.06172200005494233,223
poly,counterexample-19,refuted,0.2459979999684947,0.0654390000818239,227
poly,counterexample-20,refuted,0.24329500001840643,0.06618899999466521,227
poly,counterexample-21,refuted,0.24503800000275078,0.06647999998676823,227
poly,counterexample-22,refuted,0.24227300002621632,0.06593900002371811,227
poly,counterexample-23,refuted,0.2553819999775442,0.06426599998121674,223
poly,counterexample-24,refuted,0.2403309999863268,0.06450599994423101,227
poly,counterexample-25,refuted,0.238297999999304,0.07703500000388885,227
poly,counterexample-26,refuted,0.32053999996151106,0.06694000001061795,227
poly,counterexample-27,refuted,0.24022000002332788,0.06493700004739367,227
poly,counterexample-28,refuted,0.24809100000311446,0.06411599997591111,223
poly,counterexample-29,refuted,0.24276400006328913,0.06532800000513816,227
poly,empty-domain-0,proved,0.23522300000422547,0.07071599998198508,252
poly,empty-domain-1,proved,0.21916800005783443,0.07065600004807493,256
poly,empty-domain-2,proved,0.21662500000729779,0.07072600010360475,256
poly,empty-domain-3,proved,0.23112700000638142,0.07131699999263219,256
poly,empty-domain-4,proved,0.21465199995418516,0.06977499992899538,256
poly,pair-budget-control,unknown,0.06261400005769246,0.055844000030447205,55
nc,critical-pair-disabled,unknown,0.07830799995645066,0.031737999961478636,121
nc,critical-pair-enabled,proved,0.13815700003760867,0.04168299994944391,254
nc,weyl-1-1,proved,0.03886800004693214,0.027220999982091598,127
nc,weyl-1-2,proved,0.04825299993171939,0.031818000024941284,191
nc,weyl-1-3,proved,0.05917900000440568,0.03796699991198693,261
nc,weyl-1-4,proved,0.06931400002940791,0.04576799994993053,337
nc,weyl-1-5,proved,0.08234400002038456,0.051456999926813296,419
nc,weyl-1-6,proved,0.15063499995449092,0.10391600005732471,507
nc,weyl-2-1,proved,0.047051000024112,0.029653999945367104,191
nc,weyl-2-2,proved,0.08432599997831858,0.0523389999216306,387
nc,weyl-2-3,proved,0.12271399998553534,0.07346000006691611,597
nc,weyl-2-4,proved,0.18629999999575375,0.09472199997162534,826
nc,weyl-2-5,proved,0.20242400000825,0.11398100002679712,1072
nc,weyl-2-6,proved,0.24897299999793177,0.1349630000504476,1337
