case,solved,total_seconds,status,pivots,certificate_terms
unequal_square,True,0.00018650200001957273,checked_python,1,1
rational_center,True,0.00022361699996054085,checked_python,1,1
mixed_affine,True,0.0004523530000142273,checked_python,2,2
zero,True,2.279500006352464e-05,checked_python,0,0
